;key;value;function;total;size
47;40;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""40""}";6372656174654465004173736574;"40{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""40""}";72
48;41;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""41""}";6372656174654465004173736574;"41{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""41""}";72
49;42;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""42""}";6372656174654465004173736574;"42{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""42""}";72
50;43;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""43""}";6372656174654465004173736574;"43{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""43""}";72
51;44;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""44""}";6372656174654465004173736574;"44{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""44""}";72
52;45;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""45""}";6372656174654465004173736574;"45{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""45""}";72
53;46;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""46""}";6372656174654465004173736574;"46{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""46""}";72
54;47;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""47""}";6372656174654465004173736574;"47{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""47""}";72
55;48;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""48""}";6372656174654465004173736574;"48{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""48""}";72
56;49;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""49""}";6372656174654465004173736574;"49{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""49""}";72
57;50;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""50""}";6372656174654465004173736574;"50{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""50""}";72
58;51;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""51""}";6372656174654465004173736574;"51{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""51""}";72
59;52;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""52""}";6372656174654465004173736574;"52{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""52""}";72
60;53;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""53""}";6372656174654465004173736574;"53{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""53""}";72
61;54;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""54""}";6372656174654465004173736574;"54{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""54""}";72
62;55;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""55""}";6372656174654465004173736574;"55{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""55""}";72
63;56;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""56""}";6372656174654465004173736574;"56{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""56""}";72
64;57;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""57""}";6372656174654465004173736574;"57{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""57""}";72
65;58;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""58""}";6372656174654465004173736574;"58{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""58""}";72
66;59;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""59""}";6372656174654465004173736574;"59{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""59""}";72
67;60;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""60""}";6372656174654465004173736574;"60{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""60""}";72
68;61;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""61""}";6372656174654465004173736574;"61{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""61""}";72
69;62;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""62""}";6372656174654465004173736574;"62{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""62""}";72
70;63;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""63""}";6372656174654465004173736574;"63{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""63""}";72
71;64;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""64""}";6372656174654465004173736574;"64{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""64""}";72
72;65;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""65""}";6372656174654465004173736574;"65{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""65""}";72
73;66;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""66""}";6372656174654465004173736574;"66{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""66""}";72
74;67;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""67""}";6372656174654465004173736574;"67{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""67""}";72
75;68;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""68""}";6372656174654465004173736574;"68{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""68""}";72
76;69;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""69""}";6372656174654465004173736574;"69{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""69""}";72
77;70;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""70""}";6372656174654465004173736574;"70{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""70""}";72
78;71;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""71""}";6372656174654465004173736574;"71{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""71""}";72
79;72;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""72""}";6372656174654465004173736574;"72{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""72""}";72
80;73;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""73""}";6372656174654465004173736574;"73{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""73""}";72
81;74;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""74""}";6372656174654465004173736574;"74{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""74""}";72
82;75;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""75""}";6372656174654465004173736574;"75{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""75""}";72
83;76;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""76""}";6372656174654465004173736574;"76{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""76""}";72
84;77;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""77""}";6372656174654465004173736574;"77{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""77""}";72
85;78;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""78""}";6372656174654465004173736574;"78{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""78""}";72
86;79;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""79""}";6372656174654465004173736574;"79{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""79""}";72
87;80;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""80""}";6372656174654465004173736574;"80{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""80""}";72
88;81;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""81""}";6372656174654465004173736574;"81{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""81""}";72
89;82;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""82""}";6372656174654465004173736574;"82{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""82""}";72
90;83;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""83""}";6372656174654465004173736574;"83{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""83""}";72
91;84;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""84""}";6372656174654465004173736574;"84{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""84""}";72
92;85;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""85""}";6372656174654465004173736574;"85{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""85""}";72
93;87;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""87""}";6372656174654465004173736574;"87{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""87""}";72
94;86;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""86""}";6372656174654465004173736574;"86{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""86""}";72
95;88;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""88""}";6372656174654465004173736574;"88{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""88""}";72
96;89;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""89""}";6372656174654465004173736574;"89{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""89""}";72
97;90;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""90""}";6372656174654465004173736574;"90{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""90""}";72
98;91;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""91""}";6372656174654465004173736574;"91{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""91""}";72
99;92;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""92""}";6372656174654465004173736574;"92{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""92""}";72
100;93;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""93""}";6372656174654465004173736574;"93{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""93""}";72
101;94;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""94""}";6372656174654465004173736574;"94{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""94""}";72
102;95;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""95""}";6372656174654465004173736574;"95{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""95""}";72
103;96;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""96""}";6372656174654465004173736574;"96{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""96""}";72
104;97;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""97""}";6372656174654465004173736574;"97{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""97""}";72
105;98;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""98""}";6372656174654465004173736574;"98{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""98""}";72
106;99;"{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""99""}";6372656174654465004173736574;"99{""pocket1"":100000.0,""pocket2"":100000.0,""pocket3"":100000.0,""uuid"":""99""}";72
