;chaincodename;key;value;function;total;size
25;micro;|DEMOASSET|18|;"{""uuid"":""18"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|18|{""uuid"":""18"",""type"":""DemoAsset""}";46
25;micro;|DEMOASSET|18|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|18|pocket1|100000.0;30
25;micro;|DEMOASSET|18|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|18|pocket2|100000.0;30
25;micro;|DEMOASSET|18|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|18|pocket3|100000.0;30
26;micro;|DEMOASSET|19|;"{""uuid"":""19"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|19|{""uuid"":""19"",""type"":""DemoAsset""}";46
26;micro;|DEMOASSET|19|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|19|pocket1|100000.0;30
26;micro;|DEMOASSET|19|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|19|pocket2|100000.0;30
26;micro;|DEMOASSET|19|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|19|pocket3|100000.0;30
27;micro;|DEMOASSET|20|;"{""uuid"":""20"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|20|{""uuid"":""20"",""type"":""DemoAsset""}";46
27;micro;|DEMOASSET|20|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|20|pocket1|100000.0;30
27;micro;|DEMOASSET|20|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|20|pocket2|100000.0;30
27;micro;|DEMOASSET|20|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|20|pocket3|100000.0;30
28;micro;|DEMOASSET|21|;"{""uuid"":""21"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|21|{""uuid"":""21"",""type"":""DemoAsset""}";46
28;micro;|DEMOASSET|21|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|21|pocket1|100000.0;30
28;micro;|DEMOASSET|21|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|21|pocket2|100000.0;30
28;micro;|DEMOASSET|21|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|21|pocket3|100000.0;30
29;micro;|DEMOASSET|22|;"{""uuid"":""22"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|22|{""uuid"":""22"",""type"":""DemoAsset""}";46
29;micro;|DEMOASSET|22|pocket1|;100000.0;6372656174654465004173736574;|DEMOASSET|22|pocket1|100000.0;30
29;micro;|DEMOASSET|22|pocket2|;100000.0;6372656174654465004173736574;|DEMOASSET|22|pocket2|100000.0;30
29;micro;|DEMOASSET|22|pocket3|;100000.0;6372656174654465004173736574;|DEMOASSET|22|pocket3|100000.0;30
30;micro;|DEMOASSET|23|;"{""uuid"":""23"",""type"":""DemoAsset""}";6372656174654465004173736574;"|DEMOASSET|23|{""uuid"":""23"",""type"":""DemoAsset""}";46
