;chaincodename;key;value;function;total;size
2841;micro-aff;|DEMOASSET|295|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|295|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2842;micro-aff;|DEMOASSET|258|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|258|pocket1|100000.0;31
2843;micro-aff;|DEMOASSET|309|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|309|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2844;micro-aff;|DEMOASSET|348|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|348|pocket1|100000.0;31
2845;micro-aff;|DEMOASSET|317|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|317|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2846;micro-aff;|DEMOASSET|335|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|335|pocket1|100000.0;31
2847;micro-aff;|DEMOASSET|350|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|350|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2848;micro-aff;|DEMOASSET|349|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|349|pocket1|100000.0;31
2849;micro-aff;|DEMOASSET|287|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|287|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2850;micro-aff;|DEMOASSET|300|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|300|pocket1|100000.0;31
2851;micro-aff;|DEMOASSET|288|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|288|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2852;micro-aff;|DEMOASSET|306|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|306|pocket1|100000.0;31
2853;micro-aff;|DEMOASSET|365|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|365|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2854;micro-aff;|DEMOASSET|223|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|223|pocket1|100000.0;31
2855;micro-aff;|DEMOASSET|288|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|288|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2856;micro-aff;|DEMOASSET|313|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|313|pocket1|100000.0;31
2857;micro-aff;|DEMOASSET|201|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|201|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2858;micro-aff;|DEMOASSET|255|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|255|pocket1|100000.0;31
2859;micro-aff;|DEMOASSET|316|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|316|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2860;micro-aff;|DEMOASSET|221|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|221|pocket1|100000.0;31
2861;micro-aff;|DEMOASSET|367|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|367|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2862;micro-aff;|DEMOASSET|288|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|288|pocket1|100000.0;31
2863;micro-aff;|DEMOASSET|233|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|233|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2864;micro-aff;|DEMOASSET|363|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|363|pocket1|100000.0;31
2865;micro-aff;|DEMOASSET|275|pocket23|;"{""pocket3"":100000.0,""pocket2"":100000.0}";7472610736163745769746850063065743233;"|DEMOASSET|275|pocket23|{""pocket3"":100000.0,""pocket2"":100000.0}";63
2866;micro-aff;|DEMOASSET|315|pocket1|;100000.0;74726107361637457697468500630657431;|DEMOASSET|315|pocket1|100000.0;31
